epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,6534.78,1.49748,1.25762,1.27964,0.34517,0.65909,0.48882,0.23128,1.80137,11.7802,1.64651,0.00043075,0.00043075,0.00043075
140,6582.11,1.32123,1.12213,1.18674,0.38568,0.65909,0.58163,0.29314,1.96209,9.4651,1.82051,0.000426625,0.000426625,0.000426625
141,6629.41,1.33335,1.15955,1.21096,0.3668,0.52273,0.37732,0.17529,2.19838,6.79756,2.0067,0.0004225,0.0004225,0.0004225
142,6676.97,1.37033,1.28202,1.30823,0.54356,0.51437,0.47006,0.19675,2.16511,6.33723,2.00043,0.000418375,0.000418375,0.000418375
143,6724.5,1.32111,1.20964,1.25184,0.64431,0.53536,0.59433,0.264,2.01249,5.56124,1.85692,0.00041425,0.00041425,0.00041425
144,6771.52,1.29407,1.12773,1.21276,0.47406,0.59091,0.56462,0.27812,1.99616,7.17793,1.77948,0.000410125,0.000410125,0.000410125
145,6818.74,1.30604,1.16317,1.22799,0.41172,0.54545,0.52668,0.25536,2.12741,7.34159,1.83164,0.000406,0.000406,0.000406
146,6866.36,1.36662,1.16489,1.2226,0.53824,0.45455,0.52155,0.24626,2.25865,5.45634,1.9579,0.000401875,0.000401875,0.000401875
147,6913.83,1.29626,1.19177,1.24048,0.45042,0.65909,0.55477,0.27764,2.0747,9.08864,1.93039,0.00039775,0.00039775,0.00039775
148,6961.42,1.42236,1.18596,1.24871,0.24865,0.65909,0.44299,0.20487,2.08908,17.3589,1.88147,0.000393625,0.000393625,0.000393625
149,7009.02,1.24282,1.18005,1.14429,0.39846,0.54202,0.46498,0.21203,2.15523,9.37757,1.83902,0.0003895,0.0003895,0.0003895
150,7056.54,1.41527,1.22898,1.24637,0.54525,0.59091,0.54419,0.25798,2.16128,4.10819,1.87025,0.000385375,0.000385375,0.000385375
151,7103.99,1.33221,1.17229,1.2055,0.52605,0.59091,0.50749,0.23785,2.08616,4.87905,1.83245,0.00038125,0.00038125,0.00038125
152,7151.06,1.36749,1.09676,1.18115,0.46722,0.56818,0.45014,0.19798,1.94403,9.28759,1.70269,0.000377125,0.000377125,0.000377125
153,7198.8,1.3206,1.15135,1.2004,0.50626,0.54545,0.51267,0.24824,2.00134,5.87726,1.84906,0.000373,0.000373,0.000373
154,7246.19,1.13355,1.01743,1.116,0.50076,0.63636,0.53115,0.25949,2.04448,6.09639,1.80317,0.000368875,0.000368875,0.000368875
155,7293.65,1.38008,1.20899,1.19531,0.52871,0.56818,0.48817,0.2088,2.23099,5.6802,1.89364,0.00036475,0.00036475,0.00036475
156,7341.43,1.2729,1.16765,1.20879,0.45208,0.45012,0.41706,0.17338,2.37889,5.93668,2.08964,0.000360625,0.000360625,0.000360625
157,7389.09,1.32871,1.25446,1.22373,0.42471,0.54545,0.43456,0.17671,2.35177,6.91004,2.11265,0.0003565,0.0003565,0.0003565
158,7436.22,1.2222,1.11035,1.15436,0.44726,0.61364,0.43335,0.1871,2.22198,7.82011,1.95348,0.000352375,0.000352375,0.000352375
159,7483.53,1.17445,1.05088,1.12776,0.39918,0.65909,0.49685,0.23586,2.13191,10.6012,1.83094,0.00034825,0.00034825,0.00034825
